Genus	Species	Aggregation_score	B_vitamins	Copies_16S	GC_content	Gene_number	Genome_Mb	Gram_positive	IgA	Length	Motility	Oxygen_tolerance	pH_optimum	Salt_optimum	Temp_optimum	Width	Sporulation
Sandarakinorhabdus	rubra	NA	NA	NA	NA	NA	2.81551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sandarakinotalea	sediminis	1	NA	NA	37	NA	NA	0	NA	NA	0	NA	NA	0	17.5	-0.5108256237659907	0
Sanguibacter	antarcticus	NA	NA	NA	69.5	NA	3.5215	1	NA	3.1179499062782403	1	2	5.5	3.5	24.5	-0.6931471805599453	NA
Sanguibacter	gelidistatuariae	NA	NA	NA	69.5	NA	4.04017	1	NA	0.8544153281560676	1	2	NA	NA	NA	-0.7985076962177716	0
Sanguibacter	inulinus	NA	NA	NA	70.5	NA	4.25911	1	NA	NA	NA	5	NA	NA	NA	NA	NA
Sanguibacter	keddieii	NA	NA	4	71.26666666666667	3784	4.25341	1	NA	NA	1	4.5	NA	NA	NA	NA	1
Sanguibacter	marinus	1	NA	NA	73.4	NA	NA	1	NA	NA	1	NA	7.25	3.5	27.5	NA	0
Sanguibacter	massiliensis	NA	NA	NA	NA	NA	3.07344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sanguibacter	soli	NA	NA	NA	69.8	NA	NA	1	NA	NA	1	NA	7	NA	37	NA	NA
Sanguibacter	suaedae	NA	NA	NA	NA	NA	3.16334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sanguibacter	suarezii	NA	NA	NA	69.5	NA	3.80266	1	NA	NA	NA	5	NA	NA	NA	NA	NA
Sanguibacteroides	justesenii	NA	NA	NA	NA	NA	3.43437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sansalvadorimonas	verongulae	NA	NA	NA	42.3	NA	4.84151	0	NA	1.9459101490553132	1	5	NA	NA	NA	-0.10536051565782628	NA
Santalum	album	NA	NA	NA	NA	NA	0.554025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saonia	flava	NA	NA	NA	36.9	NA	3.80132	0	NA	0.8960880245566357	0	5	NA	NA	NA	-0.5978370007556204	0
Sapientia	aquatica	NA	NA	NA	NA	NA	4.43008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saprospira	grandis	NA	NA	3	46.56746666666667	3461	4.40018	0	NA	NA	1	5	NA	NA	NA	NA	1
SAR116	cluster	NA	NA	NA	NA	NA	NA	0	NA	1.791759469228055	0	5	NA	NA	NA	0	1
SAR202	cluster	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAR324	cluster	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAR86	cluster	NA	NA	NA	33.91111111111111	1322	1.2593344444444445	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sarcina	maxima	NA	NA	NA	28.6	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
Sarcina	ventriculi	NA	NA	NA	NA	NA	2.4572600000000002	1	NA	NA	NA	1	NA	NA	NA	NA	0.69
Sarmatiella	mevalonica	NA	NA	NA	NA	NA	1.27082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Savagea	faecisuis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
Savagea	serpentis	NA	NA	NA	NA	NA	2.63739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saxeibacter	lacteus	NA	NA	NA	74.3	NA	NA	1	NA	-0.05129329438755058	0	NA	7.1	NA	NA	-0.5978370007556204	0
Scalindua	arabica	NA	NA	NA	NA	NA	2.69381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scalindua	brodae	NA	NA	NA	NA	NA	4.08417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scalindua	japonica	NA	NA	NA	NA	NA	4.81285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scalindua	rubra	NA	NA	NA	NA	NA	5.19426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scalindua	sediminis	NA	NA	NA	NA	NA	3.11178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
